    ID     Stage                Name                                     Start Time                      End Time               Duration       Result  
   176     RDT_LOG_CLEAR        NETLAKE_BIOS_DEFAULT_BMC            2023-10-05 04:08:13            2023-10-05 04:16:23          00:08:10        pass   
   177     RDT_LOG_CLEAR        YM3_BIOS_SETTING_CHECK              2023-10-05 04:16:23            2023-10-05 04:24:39          00:08:16        pass   
   178     RDT_LOG_CLEAR        BIOS_CHECK                          2023-10-05 04:24:39            2023-10-05 04:24:39          00:00:01        pass   
   179     RDT_LOG_CLEAR        YM_SEL_CLEAR                        2023-10-05 04:24:39            2023-10-05 04:24:40          00:00:01        pass   
   180     RDT_LOG_CLEAR        YM3_SEL_CHECK                       2023-10-05 04:24:40            2023-10-05 04:24:40          00:00:01        pass   
   181     RDT_SFCS_PASS        SFCS_STAGE_END                      2023-10-05 04:24:40            2023-10-05 04:24:48          00:00:08        pass   
   182     RDT_SFCS_PASS        SFCS_PASS                           2023-10-05 04:26:14            2023-10-05 04:26:14          00:00:01        pass   
   183     FDT_START            SFCS_STAGE_START                    2023-10-05 04:26:40            2023-10-05 04:26:41          00:00:01        pass   
   184     FDT_PRE_LOG_CHECK    YM_SEL_CLEAR                        2023-10-05 04:26:41            2023-10-05 04:26:42          00:00:01        pass   
   185     FDT_PRE_LOG_CHECK    YM3_MCE_CHECK                       2023-10-05 04:26:42            2023-10-05 04:26:42          00:00:01        pass   
   186     FDT_PRE_LOG_CHECK    YM3_DMESG_CHECK                     2023-10-05 04:26:42            2023-10-05 04:26:43          00:00:01        pass   
   187     FDT_PRE_LOG_CHECK    YM3_MESSAGES_CHECK                  2023-10-05 04:26:43            2023-10-05 04:26:43          00:00:01        pass   
   188     FDT_PRE_LOG_CHECK    YM3_SEL_CHECK                       2023-10-05 04:26:43            2023-10-05 04:26:44          00:00:01        pass   
   189     FDT_PRE_LOG_CHECK    NETLAKE_SDR_CHECK                   2023-10-05 04:26:44            2023-10-05 04:26:45          00:00:01        pass   
